KommentarId,QuellenId,Plattform,Datum,Length,KommentarDEU
70471825,2,ZeitOnline,20240619191618,226,"Deutsche Leitkultur gondelt seit 1 Stunde hupend durchs Städtchen und sorgt für Gummiabrieb, CO, CO2, NO, NO2, verschreckte Kleinkinder, Haustiere und zornige Rentner.  Hallo Zuwanderer,  Staatsbürgerschaft billig abzugeben..."
70471747,2,ZeitOnline,20240619190850,202,"Schön zu sehen, wie der freundschaftliche Wettkampf auch politische Antagonisten vereint. Sicherlich haben die beiden Regierungschefs die Gelegenheit zu Austausch und Vertiefung ihrer Beziehung genutzt."
70471743,2,ZeitOnline,20240619190800,34,Ich vermisse den Li-La-Launebär. 😭
70471733,2,ZeitOnline,20240619190641,89,"Und das in pink...Das sagt uns, daß pinke Trikots nicht zum Verlieren prädestiniert sind."
70471707,2,ZeitOnline,20240619190355,447,"Dass ich das noch erleben darf: Deutschland über alle Vorrundenzweifel erhaben!Sehr geil. Obwohl Ungarn gelegentlich am Gegentor schnupperte, nervös wurdest du beim Zuschauen an keiner Stelle. Wir sehen dem Achtelfinale entspannt entgegen. So was hat es schon seit vielen Turnieren nicht mehr gegeben. Ein paar geringe Abzüge in der B-Note könnte man noch anmerken, ja, gab es, doch ohne die wären Nagelsmann und Wagner ja auch beschäftigungslos. "
70471701,2,ZeitOnline,20240619190257,620,"Hervorragend! Mir persönlich war das Spiel ein bisschen zu spannend und zu wenige Angriffe waren gut zu Ende gespielt. Aber die Punkte zu holen wenn man mal nicht überragend spielt ist auch ein Qualitätsmerkmal.Dass das pinke Trikot weiterhin eine herausragende Bilanz hat freut mich auch sehr. Wenn sie bei der WM wegen der Regenbogenbinde rausgeflogen sind heißt es ja dann jetzt umgekehrt dass uns Wokeness zum Sieg geführt hat (ich folge hier nur der Logik der Rechten).Etwas schockierend war wie die Einwechslungen gefloppt sind, alle. Füllkrug hat Glück dass er schon einen Banger gegen Schottland vorzuweisen hat."
70471670,2,ZeitOnline,20240619185954,100,"Das wird Orban als Zuschauer nicht gefallen haben - Team Pink Panther zerlegt Ungarns ""Sortenreine""."
70471551,2,ZeitOnline,20240619184728,63,Erste Hürde (erreichen des AF) überwunden!Glückwunsch zum Sieg.
70471539,2,ZeitOnline,20240619184636,202,Wenn ich mir die Kommentare so durchlese scheint die Enttäuschung der letzten Jahre so tief zu sitzen dass man  nicht allzu euphorisch werden möchte.Ich für meinen Teil bin zumindest positiv überrascht.
70471530,2,ZeitOnline,20240619184521,21,"Diese Eem, diese Eem…"
70471522,2,ZeitOnline,20240619184436,184,"Wie ist das eigentlich ? Freuen sich AFDler dann trotzdem, wenn Deutsche mit Migrationshintergrund die Nationalmannschaft ins Achtelfinale schießen? Schon ein Dilemma für sie irgendwie"
70471489,2,ZeitOnline,20240619184119,106,"Sorry, aber mich überzeugt die deutsche Mannschaft nicht. Mal sehen wie sie gegen stärkere Gegner aussieht"
70471481,2,ZeitOnline,20240619184047,31,"Nices Ergebnis, nice Trikots! 🩷"
70471476,2,ZeitOnline,20240619184020,102,"Die Mannschaft, in der manchen nicht genug ""Weiße"" sind, scheint ganz gut zu sein, wie sie gerade ist."
